feature,provider,prompt_style,context_level,rf_importance,shap_importance,auroc,n_samples,n_positive,n_negative
toxicity,anthropic,controversial,author_post,0.09069226596150044,0.011713057725071398,0.7757050452781371,973,200,773
user_followers_count,anthropic,controversial,author_post,0.05527078159436364,0.008853948551251106,0.7757050452781371,973,200,773
user_friends_count,anthropic,controversial,author_post,0.0704964390783197,0.013552374970035055,0.7757050452781371,973,200,773
user_statuses_count,anthropic,controversial,author_post,0.06162563176053454,0.010546635053933348,0.7757050452781371,973,200,773
user_favourites_count,anthropic,controversial,author_post,0.06601075693839759,0.008007997962035555,0.7757050452781371,973,200,773
favorite_count,anthropic,controversial,author_post,0.06746189158714418,0.008728998247021716,0.7757050452781371,973,200,773
retweet_count,anthropic,controversial,author_post,0.08357294586074936,0.012276263678667083,0.7757050452781371,973,200,773
retweeted,anthropic,controversial,author_post,0.015559669037559688,0.002782819441573694,0.7757050452781371,973,200,773
author_gender,anthropic,controversial,none,0.01570505651155285,0.0038668781000718304,0.7884880636604775,954,200,754
author_partisanship,anthropic,controversial,none,0.01774765900550323,0.0027816856563320576,0.7884880636604775,954,200,754
author_ideology,anthropic,controversial,none,0.02801922193438129,0.006499706048281098,0.7884880636604775,954,200,754
author_race,anthropic,controversial,none,0.036343354155366395,0.01471913816129684,0.7884880636604775,954,200,754
author_age,anthropic,controversial,none,0.03876730242965319,0.013609513604643651,0.7884880636604775,954,200,754
author_education,anthropic,controversial,none,0.01832657562304356,0.002622749578096926,0.7884880636604775,954,200,754
author_income,anthropic,controversial,none,0.028402490430148128,0.004779576080727062,0.7884880636604775,954,200,754
author_marital_status,anthropic,controversial,none,0.02133901184824632,0.0075684543553698296,0.7884880636604775,954,200,754
author_religiosity,anthropic,controversial,none,0.022488609663486713,0.0038615388726364135,0.7884880636604775,954,200,754
sentiment_polarity,anthropic,controversial,none,0.08266995428730214,0.013421386700318701,0.7884880636604775,954,200,754
sentiment_subjectivity,anthropic,controversial,none,0.06819136929995444,0.009092267399778487,0.7884880636604775,954,200,754
polarization_score,anthropic,controversial,none,0.0831948630471491,0.010064084396700585,0.7884880636604775,954,200,754
primary_topic,anthropic,controversial,none,0.05939679340256386,0.008754976739693507,0.7884880636604775,954,200,754
toxicity,anthropic,controversial,none,0.08782901043102925,0.010907554337506611,0.7884880636604775,954,200,754
user_followers_count,anthropic,controversial,none,0.05942608093436988,0.011263491167944614,0.7884880636604775,954,200,754
user_friends_count,anthropic,controversial,none,0.057630188362567406,0.00925566484468563,0.7884880636604775,954,200,754
user_statuses_count,anthropic,controversial,none,0.055866380389077465,0.009637294268194738,0.7884880636604775,954,200,754
user_favourites_count,anthropic,controversial,none,0.06487143401487866,0.00908542543709066,0.7884880636604775,954,200,754
favorite_count,anthropic,controversial,none,0.07359266929765357,0.009696230475503666,0.7884880636604775,954,200,754
retweet_count,anthropic,controversial,none,0.06645418513574379,0.008781635915819569,0.7884880636604775,954,200,754
retweeted,anthropic,controversial,none,0.01373778979632857,0.004342501811424715,0.7884880636604775,954,200,754
author_gender,anthropic,controversial,post,0.01782028334821859,0.003637113694449324,0.7822733245729303,961,200,761
author_partisanship,anthropic,controversial,post,0.016320045725011487,0.0030709572140559635,0.7822733245729303,961,200,761
author_ideology,anthropic,controversial,post,0.02371139665916637,0.003989135535776095,0.7822733245729303,961,200,761
author_race,anthropic,controversial,post,0.023171700242019387,0.004249832485431209,0.7822733245729303,961,200,761
author_age,anthropic,controversial,post,0.024990862143110654,0.0041118484325753475,0.7822733245729303,961,200,761
author_education,anthropic,controversial,post,0.018907667012406135,0.004635754348426405,0.7822733245729303,961,200,761
author_income,anthropic,controversial,post,0.02876583889872704,0.005188854643397811,0.7822733245729303,961,200,761
author_marital_status,anthropic,controversial,post,0.018936249311460988,0.003432690344227887,0.7822733245729303,961,200,761
author_religiosity,anthropic,controversial,post,0.023352272277219432,0.006511665058635059,0.7822733245729303,961,200,761
sentiment_polarity,anthropic,controversial,post,0.08431019584021372,0.010841174786559223,0.7822733245729303,961,200,761
sentiment_subjectivity,anthropic,controversial,post,0.07304877179129746,0.009888785143605857,0.7822733245729303,961,200,761
