feature,provider,prompt_style,context_level,bias,p_value,metric,significant
sentiment_subjectivity,openai,engaging,none,0.07694134270476127,0.3332101523189842,Cohen's d,False
polarization_score,openai,engaging,none,0.12580373661333338,0.11375250923045938,Cohen's d,False
primary_topic,openai,engaging,none,0.14938599097610714,0.09126119536812072,Cramér's V,False
toxicity,openai,engaging,none,0.07755558912829336,0.3293671021017635,Cohen's d,False
user_followers_count,openai,engaging,none,0.019830985116045582,0.8030009096377583,Cohen's d,False
user_friends_count,openai,engaging,none,0.11682120119481157,0.14189878337480719,Cohen's d,False
user_statuses_count,openai,engaging,none,0.16252395732821875,0.04112289647767311,Cohen's d,True
user_favourites_count,openai,engaging,none,0.03433952330552839,0.6657687383268112,Cohen's d,False
favorite_count,openai,engaging,none,0.06459616979047747,0.4165247527650995,Cohen's d,False
retweet_count,openai,engaging,none,0.17129097012710853,0.0313818825799563,Cohen's d,True
retweeted,openai,engaging,none,0.021621622161025773,0.7856298083065588,Cohen's d,False
author_gender,openai,engaging,post,0.029753048128551424,0.6538240116910768,Cramér's V,False
author_partisanship,openai,engaging,post,0.0358023901283118,0.5404952950928068,Cramér's V,False
