category,directional_bias,prop_pool,prop_recommended,feature,provider,prompt_style,context_level,feature_type,mean_pool,mean_recommended,std_pool,std_recommended
religious,-0.0029179539993134246,0.12196557304693247,0.11904761904761904,author_religiosity,openai,general,none,categorical,,,,
somewhat religious,-0.01849189259075973,0.20788583198469912,0.1893939393939394,author_religiosity,openai,general,none,categorical,,,,
very religious,0.005128153686341119,0.06738266882448139,0.07251082251082251,author_religiosity,openai,general,none,categorical,,,,
mean,0.009931927744414898,,,sentiment_polarity,openai,general,none,numerical,0.17859090775342062,0.18852283549783552,0.43609266002540226,0.4846481441047212
mean,0.016509845029669956,,,sentiment_subjectivity,openai,general,none,numerical,0.20614491687509193,0.22265476190476188,0.2003796023276064,0.18654902390433878
mean,-0.01055501312967842,,,has_emoji,openai,general,none,binary,0.03869354126820656,0.02813852813852814,0.19287774470773075,0.16545808982656468
mean,0.01980151671191835,,,has_hashtag,openai,general,none,binary,0.24643224952184786,0.2662337662337662,0.43096487248282944,0.44222731528242326
mean,-0.13099027645886552,,,has_mention,openai,general,none,binary,0.5433279387965279,0.41233766233766234,0.49815579874876414,0.4925219230557364
mean,0.16517982532400655,,,has_url,openai,general,none,binary,0.5361188759746948,0.7012987012987013,0.49873040932082174,0.457936444466452
mean,-0.19529037630568968,,,avg_word_length,openai,general,none,numerical,5.0587605304190175,4.863470154113328,1.4914372073297357,1.2060613556330575
mean,11.8573780321978,,,text_length,openai,general,none,numerical,90.9012799764602,102.758658008658,53.47349318169156,44.554167803019766
mean,0.04687965153787227,,,polarization_score,openai,general,none,numerical,0.36147307528916467,0.40835272682703694,0.3971649369004069,0.4120249890776634
arts_&_culture,0.004369128982929189,0.012946888333088127,0.017316017316017316,primary_topic,openai,general,none,categorical,,,,
business_&_entrepreneurs,0.019479404906799336,0.07900544357804914,0.09848484848484848,primary_topic,openai,general,none,categorical,,,,
celebrity_&_pop_culture,-0.01786884588120427,0.043842871855230246,0.025974025974025976,primary_topic,openai,general,none,categorical,,,,
diaries_&_daily_life,-0.039374545811209055,0.16816242459908784,0.12878787878787878,primary_topic,openai,general,none,categorical,,,,
