context_level,provider,prompt_style,feature,coef,pvalue
none,anthropic,informative,text_length,0.5498850044683135,4.377203092967903e-50
none,anthropic,informative,sentiment_polarity,-0.19028773420036887,4.794700457241104e-06
none,anthropic,informative,sentiment_subjectivity,-0.11647176344684129,0.016275807783111686
none,anthropic,informative,polarization_score,0.6483398320318846,4.543954542581982e-55
none,anthropic,informative,toxicity,-0.5083141257301999,1.1128485464720137e-14
none,anthropic,informative,has_emoji,-1.3850781214311092,0.00015296750286836641
none,anthropic,informative,has_hashtag,-0.33315722974349476,0.0007215633162238987
none,anthropic,informative,has_mention,-0.9163234263241686,3.779570300514156e-25
none,anthropic,informative,has_url,0.46706026236615455,1.5551842506259794e-07
none,anthropic,controversial,user_followers_count,0.34472138825163945,1.1571506226695376e-06
none,anthropic,controversial,user_friends_count,-0.06605246209453525,0.27190486227099764
none,anthropic,controversial,user_statuses_count,-0.2674888226093338,1.8206841510876096e-05
none,anthropic,controversial,user_favourites_count,-0.1712248252320651,0.002244705219559789
none,anthropic,controversial,favorite_count,-0.145015948298363,0.005270565472069119
none,anthropic,controversial,retweet_count,0.07093321364207193,0.1500575856661637
none,anthropic,controversial,avg_word_length,-0.30248149366541394,3.3029896325767804e-05
none,anthropic,controversial,text_length,0.674476357564054,1.3696907120719457e-59
none,anthropic,controversial,sentiment_polarity,-0.3447001150444054,1.4328774058013262e-16
none,anthropic,controversial,sentiment_subjectivity,0.022945255167525085,0.6420002202561623
none,anthropic,controversial,polarization_score,1.108298743179422,4.171899892586709e-123
none,anthropic,controversial,toxicity,-0.15694238424571286,2.1274427694674767e-05
none,anthropic,controversial,has_emoji,-2.0018008921583155,6.824904104843582e-06
none,anthropic,controversial,has_hashtag,-0.6024331426845023,1.0776245286518863e-07
none,anthropic,controversial,has_mention,-1.0156010970103613,2.8412265532784783e-25
none,anthropic,controversial,has_url,-0.7956992494440548,2.279599822874562e-18
none,anthropic,neutral,user_followers_count,0.23739534899304907,0.0004142905721343384
none,anthropic,neutral,user_friends_count,0.06322484831217412,0.2920506990809665
none,anthropic,neutral,user_statuses_count,-0.22260865950433775,0.00016317357876829551
none,anthropic,neutral,user_favourites_count,0.0014943539735620274,0.9777247776647471
none,anthropic,neutral,favorite_count,-0.08567983366472719,0.09338139697769543
none,anthropic,neutral,retweet_count,0.09547083696101102,0.04563093351934605
none,anthropic,neutral,avg_word_length,-0.2848672686057762,2.5116976437053762e-05
none,anthropic,neutral,text_length,0.42634022204867367,9.148297981733136e-32
none,anthropic,neutral,sentiment_polarity,-0.18197510285066554,4.088398610938117e-06
none,anthropic,neutral,sentiment_subjectivity,0.11433726440467414,0.007990532800918921
none,anthropic,neutral,polarization_score,0.7814715039012472,1.8876065028170185e-80
none,anthropic,neutral,toxicity,-0.1928244786865886,4.9792796417295495e-06
none,anthropic,neutral,has_emoji,-0.37983314573951077,0.1079287798067036
none,anthropic,neutral,has_hashtag,-0.2959700455576346,0.0027785150164369257
none,anthropic,neutral,has_mention,-1.2659640174156546,4.642149582314856e-43
none,anthropic,neutral,has_url,-0.22928678259180615,0.007774870702907986
none,openai,general,user_followers_count,0.17877828214521108,0.0018227868562199845
none,openai,general,user_friends_count,-0.017714828529371417,0.725822966591253
none,openai,general,user_statuses_count,-0.09776656843371077,0.06405574602274726
none,openai,general,user_favourites_count,-0.22554007506145635,3.268578673247198e-06
none,openai,general,favorite_count,-0.06189447912122392,0.22557508111708313
none,openai,general,retweet_count,0.0365811624852569,0.383323881969877
none,openai,general,avg_word_length,-0.014504556068464102,0.7801637103141513
none,openai,general,text_length,0.18226738193545433,7.590835070728813e-08
none,openai,general,sentiment_polarity,-0.05070793213636321,0.21104831089524823
none,openai,general,sentiment_subjectivity,0.15844722742947145,8.010150883350781e-05
none,openai,general,polarization_score,0.16281938647843455,2.980851131915885e-05
none,openai,general,toxicity,-0.09325554739950216,0.03938191743292584
none,openai,general,has_emoji,0.030441534325121748,0.8882671228692873
none,openai,general,has_hashtag,-0.10976925521673017,0.21249063118395428
none,openai,general,has_mention,-0.37852651104956786,2.7454385453427997e-06
none,openai,general,has_url,0.5092140908980983,1.7349079025818084e-09
none,openai,popular,user_followers_count,0.07372493334995832,0.21443327578673876
none,openai,popular,user_friends_count,0.0377771766311802,0.444680128033932
none,openai,popular,user_statuses_count,-0.019763129959303627,0.7045593606452288
none,openai,popular,user_favourites_count,-0.1640900731321951,0.0006439475815803233
none,openai,popular,favorite_count,-0.16854793697109768,0.0025616203478783213
none,openai,popular,retweet_count,0.06791337028685955,0.16571266108306626
none,openai,popular,avg_word_length,-0.09004065199444809,0.0697262494384231
none,openai,popular,text_length,0.13533882962703492,0.00022210084579902707
none,openai,popular,sentiment_polarity,0.15548030603984694,0.000416400733208555
none,openai,popular,sentiment_subjectivity,0.1318405799384995,0.0013302431024306003
none,openai,popular,polarization_score,-0.04590081424054286,0.26575841232563124
none,openai,popular,toxicity,0.033368341200803994,0.4045799396064492
